team_id,rating,wins,losses,last_match_time,name,tag,logo_url
741765,1049.04,6,5,1386785217,Enterprise Gaming.,EG,https://steamusercontent-a.akamaihd.net/ugc/883004086634440633/C630A4DB4AF241AA4E91D6B3ADF472E8BF7B4548/
984361,1048.99,7,4,1385911629,The Veno,Veno,https://steamusercontent-a.akamaihd.net/ugc/581251986358934233/8B1E39C76A2FD4EEB4844805D27A07C8B4754D9B/
1888519,1048.98,6,2,1423780104,Jesus.+4,Jesus.+4,https://steamusercontent-a.akamaihd.net/ugc/25091022133658255/E250CDE5607DBA69B760E4330C5FA0C301619655/
709976,1048.98,8,4,1416667040,smash it,Smash,https://steamusercontent-a.akamaihd.net/ugc/938321660230210654/F4D62017D38615B0BA3B2A96A7D2FDD1E13B5F7F/
2326334,1048.98,3,0,1589464420,GoD-WraTH,GW,https://steamusercontent-a.akamaihd.net/ugc/538521670842238766/3565029DC262EEFDA0CCBBDBB8A64AE6B79DAF51/
2107832,1048.88,9,7,1434893854,OldManStanding,OM,https://steamusercontent-a.akamaihd.net/ugc/610602100810290966/1770C255BD4569E031CBB598C240D723FCE8CB37/
2229706,1048.86,5,2,1432656531,FIuorescent Adolescent,FA,https://steamusercontent-a.akamaihd.net/ugc/539644365947752331/F091BBC02A25B8449B57247FCC9A665981028842/
3313312,1048.83,4,1,1472565490,BILLING OBELIX,OB,
7978798,1048.83,9,6,1591330635,Marble,Marble,https://steamusercontent-a.akamaihd.net/ugc/1010441155218986912/13D7DA69C009EE16FD4B2A01C26E605E9FA04324/
5528539,1048.8,14,15,1533906586,,,https://steamusercontent-a.akamaihd.net/ugc/2434635521229018149/5A13541AB97BEF0CCC426D364AD069664632CC62/
3332745,1048.77,3,0,1474211071,Sabun E-Sport Redbull,Sabun,https://steamusercontent-a.akamaihd.net/ugc/266099654989577929/E25853681574CCEA0CB92FD3BCB48222EC6A81C4/
6047597,1048.73,3,0,1570374942,4GradGaming,,https://steamusercontent-a.akamaihd.net/ugc/969848541256245981/1ED78F508D2066EFFFFFE616B8E814C920F8BC97/
5025345,1048.61,3,0,1551624715,Ewax Legion,EXL,https://steamusercontent-a.akamaihd.net/ugc/884259456717976761/329D27AAC29CD08836F7F6FAB00B2A1D02036F35/
7081367,1048.51,4,1,1557074323,Team Senza,senZa,https://steamusercontent-a.akamaihd.net/ugc/798737091179420054/7AF5D13448056B47A51DEDDA259C2E5D1D446B7D/
2398232,1048.51,23,26,1480248273,Acion Arena - Dota2,AcA,https://steamusercontent-a.akamaihd.net/ugc/296482365524664106/D867C806BF39C743ED3F3CC118B2B159AD644A1C/
2251639,1048.5,2,1,1431260006,AkyJIbI TOLE BI,AkyJIbI,
