id,localized_name,icon,pro_ban,pro_win,pro_pick,pro_winrate
75,Silencer,/apps/dota2/images/heroes/silencer_icon.png,41,39,90,43.3333
76,Outworld Devourer,/apps/dota2/images/heroes/obsidian_destroyer_icon.png,280,23,58,39.6552
77,Lycan,/apps/dota2/images/heroes/lycan_icon.png,42,22,38,57.8947
78,Brewmaster,/apps/dota2/images/heroes/brewmaster_icon.png,33,15,29,51.7241
79,Shadow Demon,/apps/dota2/images/heroes/shadow_demon_icon.png,121,65,135,48.1481
80,Lone Druid,/apps/dota2/images/heroes/lone_druid_icon.png,143,12,22,54.5455
81,Chaos Knight,/apps/dota2/images/heroes/chaos_knight_icon.png,80,41,85,48.2353
82,Meepo,/apps/dota2/images/heroes/meepo_icon.png,26,4,8,50.0
83,Treant Protector,/apps/dota2/images/heroes/treant_icon.png,111,91,182,50.0
84,Ogre Magi,/apps/dota2/images/heroes/ogre_magi_icon.png,84,122,251,48.6056
85,Undying,/apps/dota2/images/heroes/undying_icon.png,160,126,251,50.1992
86,Rubick,/apps/dota2/images/heroes/rubick_icon.png,262,230,480,47.9167
87,Disruptor,/apps/dota2/images/heroes/disruptor_icon.png,49,80,146,54.7945
88,Nyx Assassin,/apps/dota2/images/heroes/nyx_assassin_icon.png,145,60,114,52.6316
89,Naga Siren,/apps/dota2/images/heroes/naga_siren_icon.png,82,12,24,50.0
90,Keeper of the Light,/apps/dota2/images/heroes/keeper_of_the_light_icon.png,13,20,43,46.5116
91,Io,/apps/dota2/images/heroes/wisp_icon.png,281,81,154,52.5974
92,Visage,/apps/dota2/images/heroes/visage_icon.png,27,11,20,55.0
93,Slark,/apps/dota2/images/heroes/slark_icon.png,312,33,79,41.7722
94,Medusa,/apps/dota2/images/heroes/medusa_icon.png,30,14,26,53.8462
95,Troll Warlord,/apps/dota2/images/heroes/troll_warlord_icon.png,300,94,206,45.6311
96,Centaur Warrunner,/apps/dota2/images/heroes/centaur_icon.png,89,51,96,53.125
97,Magnus,/apps/dota2/images/heroes/magnataur_icon.png,736,154,285,54.0351
98,Timbersaw,/apps/dota2/images/heroes/shredder_icon.png,447,82,160,51.25
99,Bristleback,/apps/dota2/images/heroes/bristleback_icon.png,18,6,23,26.087
100,Tusk,/apps/dota2/images/heroes/tusk_icon.png,182,130,272,47.7941
101,Skywrath Mage,/apps/dota2/images/heroes/skywrath_mage_icon.png,39,52,112,46.4286
102,Abaddon,/apps/dota2/images/heroes/abaddon_icon.png,38,33,61,54.0984
103,Elder Titan,/apps/dota2/images/heroes/elder_titan_icon.png,99,74,133,55.6391
104,Legion Commander,/apps/dota2/images/heroes/legion_commander_icon.png,228,71,163,43.5583
105,Techies,/apps/dota2/images/heroes/techies_icon.png,56,19,33,57.5758
106,Ember Spirit,/apps/dota2/images/heroes/ember_spirit_icon.png,546,141,280,50.3571
107,Earth Spirit,/apps/dota2/images/heroes/earth_spirit_icon.png,169,148,283,52.2968
108,Underlord,/apps/dota2/images/heroes/abyssal_underlord_icon.png,217,78,159,49.0566
109,Terrorblade,/apps/dota2/images/heroes/terrorblade_icon.png,436,76,165,46.0606
110,Phoenix,/apps/dota2/images/heroes/phoenix_icon.png,516,153,310,49.3548
111,Oracle,/apps/dota2/images/heroes/oracle_icon.png,230,101,223,45.2915
112,Winter Wyvern,/apps/dota2/images/heroes/winter_wyvern_icon.png,64,31,81,38.2716
113,Arc Warden,/apps/dota2/images/heroes/arc_warden_icon.png,125,40,63,63.4921
114,Monkey King,/apps/dota2/images/heroes/monkey_king_icon.png,188,79,155,50.9677
119,Dark Willow,/apps/dota2/images/heroes/dark_willow_icon.png,26,27,48,56.25
120,Pangolier,/apps/dota2/images/heroes/pangolier_icon.png,63,54,115,46.9565
121,Grimstroke,/apps/dota2/images/heroes/grimstroke_icon.png,96,79,179,44.1341
126,Void Spirit,/apps/dota2/images/heroes/void_spirit_icon.png,394,190,372,51.0753
128,Snapfire,/apps/dota2/images/heroes/snapfire_icon.png,429,261,535,48.785
129,Mars,/apps/dota2/images/heroes/mars_icon.png,451,244,486,50.2058
